
  Hantverk o Keramikcenter AB
 556507-6253
 Period 2023-09-01 - 2024-09-30   Artikelstatistik 	  Utskrivet 2024-09-03 13:13
 Artikelfilter - Artiklar: GA-  
  Art.nr 	  Benämning 	  Belopp 	  Antal 	  % andel 	    	 
-------------------------
  GA-6571 	  solfjäderpensel - #8 	  8 550,00 	  114 	  5,4% 	  
   	 
  GA-5270 	  Huslykta - 4 st. 	  5 440,00 	  34 	  1,6% 	  
   	 
  GA-4159 	  Varm-chokladmugg - 8 st. 	  7 858,87 	  29 	  1,4% 	  
   	 
  GA-5264 	  Hög huslykta - 4 st. 	  5 271,31 	  26 	  1,2% 	  
   	 
  GA-5016 	  Skedskål - 8 st. 	  5 311,33 	  24 	  1,1% 	  
   	 
  GA-4009 	  Bred mugg - 8 st. 	  7 278,74 	  22 	  1,0% 	  
   	 
  GA-4195 	  Tillbringare 1,5 liter - 2 st. 	  4 255,00 	  21 	  1,0% 	  
   	 
  GA-5054 	  Vas - 4 st. 	  10 836,00 	  21 	  1,0% 	  
   	 
  GA-5364 	  Mini tomte - 12 st 	  2 898,79 	  21 	  1,0% 	  
   	 
  GA-4025 	  Mugg med fot - 8 st. 	  5 158,28 	  19 	  0,9% 	  
   	 
  GA-4144 	  Stapelbar mugg - 8 st. 	  4 334,08 	  19 	  0,9% 	  
   	 
  GA-4178 	  Rund junior mugg - 12 st. 	  7 067,38 	  19 	  0,9% 	  
   	 
  GA-5058 	  Mellanstor kruka med fat - 6 st. 	  5 978,00 	  19 	  0,9% 	  
   	 
  GA-7069 	  Päronformade vas - 8 st 	  4 419,97 	  19 	  0,9% 	  
   	 
  GA-4177 	  Jumbo junior mugg - 12 st. 	  7 223,06 	  18 	  0,8% 	  
   	 
  GA-1072 	  Ananas fat - 6 st. 	  3 814,19 	  17 	  0,8% 	  
   	 
  GA-4196 	  Tillbringare ½ liter - 4 st. 	  3 930,44 	  17 	  0,8% 	  
   	 
  GA-5046 	  Liten tvålbehållare - 6 st. 	  5 184,38 	  17 	  0,8% 	  
   	 
  GA-5324 	  Ringhållare kaktus - 8 st. 	  3 998,40 	  17 	  0,8% 	  
   	 
  GA-7458 	  Tomte 13 cm - 8 st. 	  2 758,08 	  17 	  0,8% 	  
   	 
  GA-4500 	  Kaffe mugg - 12 st. 	  3 840,04 	  16 	  0,8% 	  
   	 
  GA-6420 	  Svart lock till GA-4154 - 6 st 	  4 121,41 	  16 	  0,8% 	  
   	 
  GA-1073 	  Ojämn salladstallrik - 6 st. 	  3 865,72 	  15 	  0,7% 	  
   	 
  GA-4012 	  Äggkopp - 12 st 	  2 308,46 	  15 	  0,7% 	  
   	 
  GA-4063 	  Stor välvd mugg - 8 st. 	  3 823,75 	  15 	  0,7% 	  
   	 
  GA-4076 	  Liten tunnformad mugg - 12 st. 	  5 199,17 	  15 	  0,7% 	  
   	 
  GA-5291 	  Pepparkakshus lykta - 4 st. 	  3 034,28 	  15 	  0,7% 	  
   	 
  GA-5397 	  Tomte kruka - 6 st 	  5 532,12 	  15 	  0,7% 	  
   	 
  GA-7068 	  Äppelformad vas - 8 st 	  4 608,03 	  15 	  0,7% 	  
   	 
  GA-4182 	  Drop vas - 8 st 	  2 710,28 	  14 	  0,7% 	  
   	 
  GA-5051 	  Kakelplatta 11 x 11 cm, 24 st. 	  3 367,80 	  14 	  0,7% 	  
   	 
  GA-5290 	  Modern julgran lykta - 4 st. 	  3 046,32 	  14 	  0,7% 	  
   	 
  GA-5289 	  Kyrka lykta - 4 st. 	  2 464,92 	  13 	  0,6% 	  
   	 
  GA-5346 	  Svamphuslykta - 4 st. 	  3 795,58 	  13 	  0,6% 	  
   	 
  GA-7394 	  Blomster burk - 8 st. 	  3 781,96 	  13 	  0,6% 	  
   	 
  GA-2001 	  Frukostskål 16 cm - 8 st. 	  2 650,75 	  12 	  0,6% 	  
   	 
  GA-2131 	  Konisk frukostskål 14 cm - 24 st. 	  10 617,56 	  12 	  0,6% 	  
   	 
  GA-4026 	  Traditionell mugg - 8 st. 	  2 828,40 	  12 	  0,6% 	  
   	 
  GA-4049 	  Gräddkanna - 8 st. 	  2 236,76 	  12 	  0,6% 	  
   	 
  GA-4154 	  Pappersmugg - 12 st. - utan lock 	  4 475,84 	  12 	  0,6% 	  
   	 
  GA-4234 	  Sunshine Mugg - 8 st. 	  3 864,41 	  12 	  0,6% 	  
   	 
  GA-5045 	  Stor tvålbehållare - 6 st. 	  4 065,95 	  12 	  0,6% 	  
   	 
  GA-5052 	  Kakelplatta 15 x 15 cm, 24 st. 	  3 600,00 	  12 	  0,6% 	  
   	 
  GA-2002 	  Soppskål 14 cm - 8 st. 	  2 551,99 	  11 	  0,5% 	  
   	 
