
  Hantverk o Keramikcenter AB
 556507-6253
  Lagerlista	 Utskrivet 2024-09-03 12:42
 Artikelnr	 Benämning	 Lagerplats	 Lagervarning	 Antal i lager	 Kalkylkostnad	 Lagervärde	 
-------------------------
 AB-484	 Dalahäst stor - 6 st	 19	 5,00	 0,00	 336,00	 0,00	 
 AB-485	 Dalahäst mellan - 5 st.	 19	 2,00	 0,00	 248,00	 0,00	 
 AB-502	 Dalahäst mini - 4 st.	 19	 2,00	 0,00	 105,00	 0,00	 
 ABR-22628J	 Standard Die Set	 77	 1,00	 0,00	 492,00	 0,00	 
 ABWB	 Brent Drejskiva B - Beställningsvara	 77	 1,00	 0,00	 13 065,00	 0,00	 
 ABWC	 Brent Drejskiva C - Beställningsvara	 77	 1,00	 0,00	 10 587,50	 0,00	 
 AC-A273	 ArtClay silverlera - 10 g	 10	 126,00	 95,00	 137,00	 13 015,00	 
 AC-A274	 ArtClay silverlera - 20 g	 10	 410,00	 196,00	 222,00	 43 512,00	 
 AC-A275	 ArtClay silverlera - 50 g	 10	 38,00	 19,00	 550,00	 10 450,00	 
 AC-A279	 ArtClay spruta - 10 g	 10	 87,00	 24,00	 115,00	 2 760,00	 
 AC-A280	 ArtClay spruta med munstycke - 10 g	 10	 43,00	 18,00	 124,00	 2 232,00	 
 AC-A285	 ArtClay pasta - 10 g	 10	 61,00	 41,00	 133,00	 5 453,00	 
 AC-A286	 ArtClay pasta - 20 g	 10	 60,00	 20,00	 260,00	 5 200,00	 
 AC-A300	 ArtClay kopparlera - 50 g	 10	 36,00	 20,00	 67,00	 1 340,00	 
 AC-A335	 ArtClay bronslera - 50 g	 10	 12,00	 7,00	 95,00	 665,00	 
 AC-F0326	 Poleringskräm	 10	 2,00	 1,00	 52,00	 52,00	 
 AC-F149	 Betmedel metall-leror	 10	 1,00	 0,00	 62,00	 0,00	 
 AC-F1767	 Cherrie Blossoms - form	 10	 1,00	 0,00	 82,00	 0,00	 
 AC-HOTK	 Klossar HotPot - 3 st	 12	 1,00	 0,00	 10,00	 0,00	 
 AC-HOTL	 Hot Pot Large	 12	 16,00	 7,00	 210,00	 1 470,00	 
 AC-HOTS	 Hot Pot Small	 12	 10,00	 7,00	 180,00	 1 260,00	 
 AC-R058	 Slipsvamp #240-320	 10	 12,00	 6,00	 20,00	 120,00	 
 AC-R059	 Slipsvamp #320-600	 10	 12,00	 10,00	 20,00	 200,00	 
 AC-R060	 Slipsvamp #800-1000	 10	 12,00	 11,00	 20,00	 220,00	 
 AC-R061	 Slipsvamp #1200-1500	 10	 12,00	 9,00	 20,00	 180,00	 
 AC-SC1	 Stål behållare - d 9 x h 6 cm	 12	 2,00	 1,00	 69,50	 69,50	 
 AC-SM018	 Silkonform - Knapp nr 7	 12	 1,00	 0,00	 22,40	 0,00	 
 AC-SM019	 Silkonform - Knapp nr 8	 12	 1,00	 0,00	 22,40	 0,00	 
 ADC01-2	 Everlasting	 41	 1,00	 0,00	 10,10	 0,00	 
