Patrik Order Form;;;;;;;;;
Date: ;;;;;;;;;
Est. delivery Date: ;;;Primary;;Total;;;;End
Part;Part Desc;Price List Price;Order QTY;Parts Per Container;;;;;
20010010;1001 - TUSCANY RIM SALAD PLATE;26,43 US$;;12;;;;;
20010020;1002 TUSCANY RIM DINNER PLATE;31,33 US$;;12;;;;;
20010030;1003 TUSCANY RIM CHARGER PLATE;21,54 US$;;6;;;;;
20010040;1004 TUSCANY COUPE SALAD PLATE;12,04 US$;;6;;;;;
20010050;1005 TUSCANY COUPE DINNER PLATE;15,66 US$;;6;;;;;
20010100;1010 SMALL SUSHI PLATE;27,65 US$;;12;;;;;
20010110;1011 LARGE SUSHI PLATE;35,27 US$;;10;;;;;
20010130;1013 TUSCANY COUPE CHARGER;22,04 US$;;6;;;;;
20010160;1016 SQ. RIM SALAD PLATE;23,23 US$;;12;;;;;
20010170;1017 SQ. RIM DINNER PLATE;31,53 US$;;12;;;;;
20010180;1018 SQ. RIM CHARGER;26,64 US$;;6;;;;;
20010200;1020 ANGLED RIM SALAD PLATE;32,70 US$;;12;;;;;
20010210;1021 ANGLED RIM DINNER PLATE;21,54 US$;;6;;;;;
20010220;1022 ANGLED RIM CHARGER;20,75 US$;;4;;;;;
20010230;1023 SWOOP SUSHI SALAD PLATE;32,70 US$;;12;;;;;
20010240;1024 SWOOP SUSHI DINNER PLATE;32,21 US$;;6;;;;;
20010300;1030 SWOOP SUSHI MINI PLATE;12,57 US$;;12;;;;;
20010310;1031 TUSCANY COUPE DESSERT PLATE;15,15 US$;;12;;;;;
20010400;1040 FLARE SUSHI SAUCE DISH;27,25 US$;;24;;;;;
20010410;1041 FLARE SUSHI SMALL PLATE;26,90 US$;;12;;;;;
20010420;1042 FLARE SUSHI MEDIUM PLATE;35,97 US$;;12;;;;;
20010440;1044 SNOWMAN RIM PLATE;16,78 US$;;6;;;;;
20010480;1048 EGG PLATE;14,65 US$;;8;;;;;
20010490;1049 SANTA RIM PLATE;17,19 US$;;6;;;;;
20010500;1050 REINDEER PLATE;17,19 US$;;6;;;;;
20010520;1052 CUPCAKE DESERT PLATE;18,65 US$;;12;;;;;
20010670;1067 SQUIRCLE SALAD PLATE;14,20 US$;;6;;;;;
20010680;1068 SQUIRCLE DINNER PLATE;18,02 US$;;6;;;;;
20010690;1069 SQUIRCLE CHARGER;19,71 US$;;4;;;;;
20010700;1070 WHIMSY WARE SALAD PLATE;11,63 US$;;6;;;;;
20010710;1071 WHIMSY WARE DINNER PLATE;16,90 US$;;6;;;;;
20010720;1072 - PINEAPPLE PLATE;11,00 US$;;6;;;;;
20010730;1073 - ORGANIC WARE SALAD PLATE;14,88 US$;;6;;;;;
20010740;1074 - ORGANIC WARE DINNER PLATE;19,78 US$;;6;;;;;
